name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Antônio Carlos;SC;10285;12129;21462;17904;19279;21399;26939;22537;17418;18340;32905;26259;40795;38424;43837;49619;54817
Apiúna;SC;7513;10918;14924;16956;16139;22133;26408;27875;30506;42365;49011;44131;66349;74188;62078;70906;69613
Arabutã;SC;1186;1475;1430;1541;1646;1575;1452;2453;3510;3219;3777;3676;4295;4865;6037;6837;9025
Araquari;SC;13691;19324;20059;26392;30004;31323;47523;53471;95574;118111;122097;154382;377205;803768;683625;1066058;1302689
Araranguá;SC;49860;64725;69079;66194;64592;61183;71352;72064;91946;113134;113050;109217;115421;121146;125434;138635;156230
Armazém;SC;1991;2698;2711;3176;3547;3324;3232;4264;4605;5344;5770;6961;8836;11590;12524;15086;20024
Arroio Trinta;SC;1675;2278;2538;2921;3266;3418;4234;4127;4388;5845;5103;7012;5932;5653;5883;6242;6015
Arvoredo;SC;685;862;731;697;1032;909;2346;1752;1656;2672;1568;2223;1685;1987;2254;2912;3507
Ascurra;SC;5493;7622;7032;7234;7557;7508;6680;9155;10351;11981;19808;25086;13782;12324;13764;17939;18515
Atalanta;SC;829;1048;1194;1312;1440;1362;1852;1781;2789;2937;4234;9945;4426;4865;7080;8324;6417
Aurora;SC;858;1105;1232;1370;1586;1640;1865;2557;4044;4491;6682;7900;9595;12451;12745;13936;17152
Balneário Arroio do Silva;SC;1302;1898;1969;2152;2456;2271;2262;3416;3362;5016;5369;4087;4739;5234;6070;7283;9807
Balneário Camboriú;SC;86254;108820;124898;141428;166810;177461;218685;265493;347539;399886;367352;502712;508646;556603;488205;508744;547978
Balneário Barra do Sul;SC;1779;2478;2727;3023;3230;2945;2929;3983;4231;4880;6163;7071;7260;8422;9406;10066;10890
Balneário Gaivota;SC;1300;2179;2006;2188;2122;1952;2423;2255;2449;2702;2963;3233;3590;4758;5625;6520;6847
Bandeirante;SC;248;374;348;376;426;521;645;534;804;1108;1226;1172;2160;3598;3443;3236;2894
Barra Bonita;SC;248;365;343;375;440;426;502;511;488;575;662;578;622;601;790;869;1253
Barra Velha;SC;9587;16587;25901;24037;25761;27500;30431;33921;41862;97582;119223;144131;178882;175130;180643;259924;254390
Bela Vista do Toldo;SC;467;855;857;999;1132;1267;1592;1282;1767;1891;2925;4802;2978;3066;3576;3576;3650
Belmonte;SC;391;625;634;675;683;797;942;957;956;1228;1388;1307;1487;1605;1891;1877;1790
Benedito Novo;SC;4412;6859;7115;7578;8820;7801;7502;10186;12836;13904;16042;15802;20093;24777;30002;38308;37674
Biguaçu;SC;41410;54515;55080;60502;61660;77642;77753;81432;88073;106781;117340;120664;145655;134199;144189;158786;196227
Blumenau;SC;588977;690259;727629;812171;916764;1036969;1212843;1188585;1439050;1658415;1784468;2039311;2313995;2227508;2205469;2358527;2542075
Bocaina do Sul;SC;606;860;809;779;880;1102;1382;1228;1382;1370;1468;1872;1522;1664;2226;2055;2084
Bombinhas;SC;6621;8896;9355;10392;12276;13732;15717;18062;23708;22152;26091;27024;30959;37876;48299;45752;54188
Bom Jardim da Serra;SC;858;1359;1263;1358;2164;1289;1589;1818;3102;4807;3127;3000;3021;2867;3724;3766;4484
Bom Jesus;SC;510;1316;1505;1485;1143;1615;2154;3164;3337;5672;5464;7184;3554;4420;9206;8554;9368
Bom Jesus do Oeste;SC;1716;1951;2584;4554;2473;3499;5697;6304;6563;8257;9551;10010;1886;2022;1776;2159;2198
Bom Retiro;SC;3428;4706;4735;5470;6307;5645;5317;6381;6564;7327;7886;10219;9064;9478;11280;12796;14575
Botuverá;SC;2534;3226;3927;4103;4569;5031;5689;7970;13257;14941;17039;22314;33074;37006;39262;44875;49833
Braço do Norte;SC;25502;32608;42210;37802;35367;36055;38592;52636;61328;67305;74784;91082;105355;112548;121471;136011;147748
Braço do Trombudo;SC;7939;10098;9503;11621;11614;11927;21190;13601;15485;17190;15213;15777;18991;18360;16828;17362;20276
Brunópolis;SC;285;572;569;692;662;850;639;988;1115;2171;3333;1703;2277;2859;3374;3142;3485
Brusque;SC;140077;160252;182802;206569;229854;249068;296928;363891;475422;536302;663970;800885;925601;801084;868729;944243;1120747
Caçador;SC;78960;102388;105271;105787;109813;123959;145647;134129;176516;201547;209067;307397;355508;356828;353332;380238;428116
Caibi;SC;2809;4114;4238;4560;4635;5700;5922;6132;6540;8632;7437;9393;13789;13152;16140;14770;16277
Calmon;SC;2763;3229;2719;3002;8467;2599;3003;1105;1723;1730;1772;2516;1507;1877;2193;2311;2357
Camboriú;SC;12616;17024;18381;20650;23529;28555;36748;43661;49449;57364;65408;70514;97961;109512;115913;144026;168626
Capão Alto;SC;523;705;769;1050;1288;1277;2062;2321;2797;3862;6543;8275;5106;5679;6403;6807;7490
Campo Alegre;SC;4567;5656;8053;9393;9429;9498;8753;9482;12732;22312;16289;21497;30139;30737;39031;50977;57911
Campo Belo do Sul;SC;2823;4526;5040;4700;4308;4891;3563;5114;6334;7541;9167;7568;7887;8526;9240;7801;8569
Campo Erê;SC;7456;10440;11129;9954;9058;10233;12495;12734;16296;11877;20430;23288;14045;14691;15662;16108;19598
Campos Novos;SC;27370;33968;34140;35851;38366;51766;48440;87653;102852;122255;142396;157025;170397;166769;195874;194731;199450
Canelinha;SC;2697;3339;4134;4951;5908;5783;5976;8062;10930;11176;11738;11787;14015;13372;13054;13462;15561
Canoinhas;SC;55918;68618;70709;69613;64807;67128;80720;78740;95541;112485;123546;123823;109402;126164;123977;134565;149395
Capinzal;SC;18547;23643;27623;34227;31548;37439;37701;40937;47019;55669;57465;59458;74593;73729;86023;90794;90965
Capivari de Baixo;SC;8013;10085;8997;9928;10968;11418;15770;17655;17995;21569;21719;24764;29818;33602;34023;43601;30347
Catanduvas;SC;8756;11061;11120;18221;13735;14593;17682;19315;21984;25249;29584;33177;40573;40254;49823;47552;51379
Caxambu do Sul;SC;4389;4187;4710;6227;5952;6877;7057;5663;8207;11613;13061;13459;4230;4371;5502;5484;6463
Celso Ramos;SC;1172;1127;1369;1565;917;954;1022;1104;1003;1179;1326;1492;1488;1735;1933;2070;2137
Cerro Negro;SC;343;547;484;489;580;652;737;644;696;1396;1990;1948;1238;1125;1320;1449;1515
Chapadão do Lageado;SC;305;502;513;475;676;613;682;773;1101;1130;2131;2194;1086;1175;1507;1756;1916
Chapecó;SC;215080;278840;258841;283641;288187;343067;428836;421084;586702;681692;766145;889626;920826;964542;1046230;1123008;1230569
Cocal do Sul;SC;9147;11466;16177;18641;17279;22698;31882;24848;43693;45403;36522;60130;101733;88669;86271;104666;93293
Concórdia;SC;109750;98678;95290;100720;109210;115648;132462;135345;304471;350757;269256;298499;258268;313778;364468;393080;415325
Cordilheira Alta;SC;9393;11249;10197;13008;14435;16819;21914;19416;30279;33662;26749;33302;32463;34402;34386;36910;36456
Coronel Freitas;SC;4843;5878;5842;6337;7133;7861;7544;8722;9015;19161;11006;22036;16212;16948;17932;19777;22668
Coronel Martins;SC;491;698;683;655;627;784;899;930;937;2754;1245;1226;1339;1523;1660;1793;1894
Corupá;SC;10223;11799;14376;17644;18954;19792;23085;25724;30431;36852;34669;37340;29733;30732;31723;35017;38472
Correia Pinto;SC;13865;16163;14244;14896;17065;25221;26343;25770;29801;32887;33537;32237;42428;48711;54416;58763;61932
Criciúma;SC;220968;252205;267313;270673;299499;335924;414284;383758;476846;553576;599313;691030;803052;877951;856822;935031;1047832
Cunha Porã;SC;18272;22227;22945;38551;28395;31118;38317;42178;54416;75168;75408;75633;57166;59503;67858;68245;72264
Cunhataí;SC;382;475;471;475;517;699;844;957;1142;1389;1387;1430;1528;1693;1806;1907;2436
Curitibanos;SC;31582;43321;44349;48003;47094;45733;52405;64598;91040;105986;111901;108598;123370;111706;129622;156127;152557
Descanso;SC;4660;5558;5275;5115;4805;5915;6649;6671;6293;7751;8286;9556;11303;12280;13879;14672;13726
Dionísio Cerqueira;SC;3509;3496;3742;6920;10784;16150;19785;24396;32670;41561;51406;68766;63733;72368;59168;58358;60044
Dona Emma;SC;949;1026;919;1185;1337;1306;1492;1759;2731;2905;3067;3597;4472;4863;5287;6258;8295
Doutor Pedrinho;SC;837;1096;1264;1353;1396;1326;1413;1896;3043;3475;4489;5516;7200;11290;13054;16548;17795
Entre Rios;SC;268;376;383;374;483;546;628;720;763;9528;10803;9316;1391;1332;1502;1599;1626
Ermo;SC;2067;2809;3574;3903;4009;4072;1634;1742;2012;1394;1914;3074;3272;3545;4961;5506;6276
Erval Velho;SC;1792;2506;2440;2664;2797;3067;3654;3199;3354;3980;4835;5808;6224;7117;7903;8719;8526
Faxinal dos Guedes;SC;10533;14603;14345;17140;19934;22405;28866;26753;31640;36286;39211;46474;44498;42532;48323;54471;58101
Flor do Sertão;SC;199;312;306;392;454;435;486;437;508;664;822;794;1435;1535;1868;1940;2082
Florianópolis;SC;964547;1056629;1151741;1544865;1598680;1666847;2043113;1864882;2446058;2811611;2836696;2838373;2919839;3215509;3219992;3482767;4046357
Formosa do Sul;SC;614;752;751;801;870;1003;1332;1179;1273;1542;3373;3170;3387;2532;2741;3276;3657
Forquilhinha;SC;13529;18931;28306;27642;28474;29621;31338;35612;42951;50883;51583;51664;79680;79194;79655;92038;96283
Fraiburgo;SC;34366;41120;36657;36985;36942;39007;48418;48603;60853;67565;75938;61667;59331;65840;81206;84245;90708
Frei Rogério;SC;470;676;637;602;942;923;1024;951;1092;931;2163;1085;1379;1916;2156;2279;2220
Galvão;SC;3943;5399;6561;8081;5701;7126;7556;7091;7782;9783;10438;10993;2765;3035;3749;2680;3286
Garopaba;SC;7783;10942;13699;15458;15754;16379;17808;24019;24676;28177;32290;37467;43174;45600;51986;59287;67820
Garuva;SC;8918;13045;12405;14622;17901;24581;27030;32594;51832;59117;62120;83760;119496;110133;97143;175155;244694
Gaspar;SC;114031;144869;152608;190592;157861;271996;145343;161152;221579;261311;253980;246026;359556;334034;351484;410831;447455
Governador Celso Ramos;SC;2455;3221;3441;3954;4365;4910;4965;6000;7628;7949;8320;10397;11050;13055;15370;16575;20484
Grão-Pará;SC;3069;4006;4497;5095;4539;4374;4308;4723;5769;7508;7336;8236;10622;11425;13337;15726;16720
Gravatal;SC;3668;5594;4720;5187;5245;5557;6210;7858;4097;6458;6201;7207;7584;10429;14423;14988;14810
Guabiruba;SC;11081;13760;17603;23777;31612;44067;51911;63704;79948;93814;106252;160732;209814;193137;174453;186089;209452
Guaraciaba;SC;5165;6377;6152;7722;7791;8761;9455;10861;13120;17540;19069;22097;15018;16205;18867;19822;29176
Guaramirim;SC;36661;42833;48892;59785;68261;89346;99311;122806;145972;169268;163395;178007;215323;195307;198858;206146;260443
Guarujá do Sul;SC;5126;9310;10482;9271;7145;8991;10694;8813;7391;9679;13780;11571;14883;13972;17005;17360;16643
Guatambú;SC;2297;2852;4793;7847;9105;10971;13275;12651;23024;28294;50013;53563;15989;17578;19881;28000;27459
Herval d'Oeste;SC;12167;14981;15128;16342;16790;16916;16407;21560;27061;28884;32304;33444;35251;31640;28960;34227;41457
Ibiam;SC;318;493;437;837;927;1350;1990;1292;1224;1336;1255;2385;1668;1884;2218;2701;2862
Ibicaré;SC;1447;1760;1795;1974;1978;2326;2312;2537;2508;2800;3387;3285;3739;4400;5544;6410;7432
Ibirama;SC;12275;15178;15437;16762;16593;17021;18655;21205;26603;34718;37423;32861;34873;33828;35982;38864;44281
Içara;SC;54918;74027;71688;82443;89464;105920;125435;134715;193049;213054;219285;240386;270021;243731;269566;296028;328243
Ilhota;SC;6318;8580;8765;10691;12484;15886;21039;26015;43656;58769;62827;80665;98334;119932;161316;175510;168425
Imaruí;SC;1732;2083;2101;2192;3359;2141;2616;2729;3472;2912;3141;3589;3647;4306;4646;5613;5840
Imbituba;SC;16657;19020;24497;50384;104583;111418;180745;167981;149341;165951;155081;133211;128636;141432;213159;221461;301971
Imbuia;SC;1276;1764;1827;1949;2106;1983;2572;3352;4243;4868;6493;7276;6075;6267;6886;6938;8626
Indaial;SC;62740;79230;92202;106725;114194;123648;150327;162140;207265;240573;251166;252296;336362;325142;324663;357367;378996
Iomerê;SC;1493;1889;1920;2325;2749;2162;2689;3631;5167;6360;6039;6358;7698;8754;7529;9718;10223
Ipira;SC;1009;1316;1267;1277;1367;1398;1479;1635;1843;2076;2370;2363;2498;2661;3128;3315;3215
Iporã do Oeste;SC;3790;4649;4933;5331;5016;5835;6587;6464;6527;7893;9260;9761;11341;11880;13894;15159;17851
Ipuaçu;SC;4743;3964;2359;2524;2994;3611;7127;6872;11603;15178;27322;34597;13303;15093;16731;15195;15174
Ipumirim;SC;6619;8312;6562;7017;7300;9064;10644;11925;14865;18654;17635;18845;26401;27070;30423;30126;33246
Iraceminha;SC;712;1095;1167;1170;1235;1409;1814;1769;2082;2446;2632;2691;3096;3228;4030;4213;4224
Irani;SC;1654;2209;3348;3363;3367;3179;3537;4614;7424;8244;9467;12976;13235;14002;14939;15090;19229
Irati;SC;565;687;601;585;1873;2924;3961;4028;6755;2909;1001;3970;1531;1434;1708;1675;1758
Irineópolis;SC;3283;5208;5137;5066;5577;6382;9949;8598;10844;10315;10035;13666;11367;12693;12844;13884;19462
Itá;SC;3152;3784;3893;4709;5283;5211;5742;6932;10926;10532;12011;11526;13239;16036;19524;21051;25211
Itaiópolis;SC;6749;9943;10773;12649;12020;13417;15394;19230;20411;38814;33499;31597;41394;42163;45443;49376;54457
Itajaí;SC;380302;437501;661085;983660;1206620;1612101;2344440;2342375;3900629;4639507;5310604;6159672;6779529;7139758;6579398;7821954;9820341
Itapema;SC;18247;24324;25562;28128;32844;32122;44562;55594;66176;81125;96772;102561;109514;129810;136663;153988;173109
Itapiranga;SC;10433;14861;21326;23664;24401;27954;33849;36206;35721;55973;47718;59810;56915;71437;70341;72984;79405
Itapoá;SC;5103;6410;6407;7371;6989;6864;9450;14026;13124;51085;61731;87126;50525;57827;62127;79802;102216
Ituporanga;SC;9708;13912;16591;16812;17149;18464;24851;27071;33999;35027;41252;47625;60216;55144;66871;73687;79600
Jaborá;SC;1727;2211;2471;2731;2561;2698;3418;3262;3966;4021;4169;5415;6442;6744;8164;9369;10181
Jacinto Machado;SC;4475;6228;6081;6344;6563;7141;11885;12529;13175;14686;24200;31027;21504;21211;25455;29573;34480
Jaguaruna;SC;4426;5853;6216;7024;7511;7583;9622;10138;13807;16029;17462;18052;19134;21889;26634;31500;33881
Jaraguá do Sul;SC;311968;379378;386258;493182;530067;593862;719545;706219;748945;877168;926852;1100142;1069268;1241541;1219012;1340571;1395983
Jardinópolis;SC;398;501;463;473;502;563;721;702;678;2900;932;890;1002;1000;1287;1395;2110
Joaçaba;SC;61053;72030;75465;75775;74281;89493;93356;95138;119595;141060;140839;133576;148529;160918;184150;185035;236467
Joinville;SC;856366;1058026;1146895;1494704;1608634;1849481;2196346;2268285;2758462;2989248;3290016;3862411;5024476;5119906;4806082;5254798;6676577
José Boiteux;SC;11014;12130;11072;14057;14805;14185;23205;26917;5986;2606;2944;4300;3510;3850;4264;4722;4947
Jupiá;SC;551;992;1006;607;658;792;956;733;925;3032;1821;1846;2086;2057;2729;2994;2864
Lacerdópolis;SC;2016;2366;2015;3041;3379;4154;5333;6443;8069;10487;11784;12279;5600;6537;7225;7661;7668
Lages;SC;157206;195767;218060;250601;267937;280136;317050;271001;345565;372813;568597;470672;539964;560985;502403;541274;575397
Laguna;SC;15950;19722;19759;21983;23461;22963;26819;28648;29481;31193;49415;45594;48854;45954;47858;51393;55761
Lajeado Grande;SC;340;488;429;519;414;485;680;843;763;822;10710;11668;2141;1126;1310;1387;1360
Laurentino;SC;2598;3449;3613;4940;5296;5890;6770;10169;12799;14239;16223;18970;25421;27343;34249;35135;37545
Lauro Müller;SC;3872;5562;6655;7262;7589;7113;8669;8974;9860;10898;10414;10697;11218;13553;16754;18729;21892
Lebon Régis;SC;1935;2687;2822;3014;3585;3815;4381;4564;5056;4829;6521;7326;7274;8278;9523;9728;10931
Leoberto Leal;SC;432;606;658;821;926;948;1275;1658;1546;1756;3045;2165;2315;2297;2832;3108;3456
Lindóia do Sul;SC;2412;2740;2499;2806;2586;2682;4047;4449;5843;7246;12206;7698;9657;10935;7695;4540;4686
Lontras;SC;3417;4350;3880;4350;5502;6192;9732;9744;10186;18894;22024;15356;17326;19484;23852;26930;31520
Luiz Alves;SC;10333;13352;14729;17784;19569;24033;32076;37770;51389;55690;60329;75502;81740;84353;91415;103047;87157
Luzerna;SC;4037;5221;5083;5860;5731;6772;7158;7999;8900;9124;10407;13166;16216;13835;15909;15553;16770
Macieira;SC;643;817;717;756;773;778;897;739;1011;960;1024;1861;1627;1309;1495;1576;1685
Mafra;SC;53300;63401;65468;67663;64631;62829;76810;77270;90068;99146;111150;113538;122582;120435;131445;145884;190547
Major Gercino;SC;643;873;864;966;954;851;1544;1914;1328;1481;1762;1378;1513;1686;2002;1822;1958
Major Vieira;SC;769;1152;1236;1598;1784;2315;3602;3146;3908;4072;5106;5644;7612;7619;9064;9276;11519
Maracajá;SC;8598;11273;12652;12083;10587;12676;12459;13169;11388;10691;12205;21470;18139;17346;16731;18057;20642
Maravilha;SC;22783;28032;32176;41635;40494;43277;56969;60333;87254;103206;109597;120147;102976;106288;129882;142626;178390
Marema;SC;3357;2906;2538;4631;2982;2794;2866;3315;6358;8131;9599;9651;1324;1625;1920;2087;1977
Massaranduba;SC;9941;13018;13565;16185;18059;15879;23679;23620;27285;39288;33855;37032;49359;54649;54405;58547;59987
Matos Costa;SC;350;567;633;538;595;563;761;647;744;742;1673;974;1078;1122;1281;1459;1574
Meleiro;SC;3367;5316;4025;4204;4709;5551;6735;7906;9454;9372;10847;10454;13561;14318;17666;18649;19397
Mirim Doce;SC;444;786;860;866;792;756;1271;1188;1263;1513;1984;2925;1902;2321;2537;3099;3396
Modelo;SC;4401;5073;5639;6466;6847;7419;7497;7873;9172;11065;12020;12768;4974;5676;7187;6442;6781
Mondaí;SC;13435;18636;19966;18901;18096;26870;28207;35058;26231;41325;42931;46719;54824;54565;64166;67715;79672
Monte Carlo;SC;2338;2875;2678;2886;3042;3321;4439;3890;5432;5435;5188;5457;5516;6494;7357;7039;7643
Monte Castelo;SC;2435;3676;3523;3625;4412;3680;5727;6717;7512;7165;7852;8676;9943;11362;10428;14171;13708
Morro da Fumaça;SC;19445;21276;22189;22587;23309;26374;34547;39611;44156;49782;50181;66959;78337;80360;83009;93453;104544
Morro Grande;SC;719;920;872;921;994;1558;2605;3683;5034;10146;6244;8323;15252;16401;19322;11355;7621
Navegantes;SC;33245;39091;51097;60612;76110;93748;137804;166095;250273;280190;464554;587738;753705;813943;665904;765322;800536
Nova Erechim;SC;2173;2745;3196;3345;3200;3123;3719;4326;5101;14837;14911;10826;8984;9508;13639;11770;13819
Nova Itaberaba;SC;2860;4189;4505;5350;5833;7084;8989;9942;9277;13439;6111;14997;6025;6691;8188;8638;9090
Nova Trento;SC;5546;7654;8104;8785;9944;10259;12538;14257;17545;20209;25521;40412;49218;51383;57621;59414;71464
Nova Veneza;SC;25925;33371;32151;38550;37569;46813;53727;52733;52582;64283;63706;71588;90409;92152;103590;104000;104474
Novo Horizonte;SC;683;1304;1388;2767;1740;1919;1013;2002;2451;4016;4075;4732;4759;4359;5311;5547;7199
Orleans;SC;24334;24969;24222;30921;32965;34215;42136;48639;47750;54403;68686;97635;100859;93486;96448;117843;122565
Otacílio Costa;SC;13320;15699;18344;16195;18425;21148;22690;27430;35773;36962;37948;40816;48213;50905;56874;62369;80278
Ouro;SC;2748;3341;3907;3570;3876;3725;4631;4836;5335;6384;6618;7268;8064;9024;9921;10719;11887
Ouro Verde;SC;770;1141;2002;1057;941;1131;1982;1854;1914;3897;5048;5502;3371;3609;3179;3414;3403
Paial;SC;611;823;702;722;638;905;1074;1162;1208;8398;9309;9323;1130;1094;1441;1642;1933
Painel;SC;240;306;315;366;416;423;538;543;3325;960;1016;769;781;1167;1557;1322;1214
Palhoça;SC;65208;87961;85127;107924;160304;220225;300041;345519;548181;654419;780390;772495;844779;1012275;643408;745937;968759
Palma Sola;SC;2586;3652;3756;3304;3525;3873;6662;6739;9622;13703;21732;22908;15112;13932;19400;15140;15284
Palmeira;SC;901;1051;1273;2202;1981;2289;2699;3427;4303;5486;5706;6104;5634;12084;10069;9001;10272
Palmitos;SC;12102;15133;18172;19073;15776;19196;22840;22338;24154;34247;45713;53418;49335;46617;51818;55873;57600
Papanduva;SC;9666;11859;12365;15800;16267;16962;21197;22632;27566;30849;34193;104526;34330;34414;37807;49929;54854
Paraíso;SC;1366;1638;1496;2875;3149;4688;5995;5556;7328;9194;13132;14392;4617;4747;5743;5919;7897
Passo de Torres;SC;2951;5773;5229;4330;4644;5664;3532;3316;3370;3260;3152;3491;4341;5817;6918;7991;10494
Passos Maia;SC;2517;2778;3134;4048;4226;4581;6300;6917;8895;4956;4181;4430;4273;4829;6867;7384;8480
Paulo Lopes;SC;3455;4704;4438;4737;5272;5296;5919;7762;8693;9578;12030;10913;11367;10237;10728;11724;13278
Pedras Grandes;SC;1104;1921;2154;2566;2667;2694;2618;2494;4389;5912;3131;3154;4051;5713;6353;6762;7730
Penha;SC;7006;9270;9412;10608;11933;13290;16028;19040;23715;27547;33728;39595;43058;51537;56290;64904;76206
Peritiba;SC;1358;1678;1579;1727;1903;1748;2401;2351;2780;3282;3426;4462;5298;5583;7077;6814;7184
Pescaria Brava;SC;...;...;...;...;...;...;...;...;...;...;...;457;1181;3608;4506;4495;5620
Petrolândia;SC;1535;2033;1933;1889;2317;2455;3300;3854;4752;5423;9353;12067;5978;6822;8035;9035;10198
Balneário Piçarras;SC;6025;9007;12155;12671;16049;18519;21393;24814;24309;35378;39324;48699;44398;46948;82510;213964;241826
Pinhalzinho;SC;23541;28407;33283;35626;33897;39335;50512;55720;70874;96061;98700;115513;101201;100649;119764;131253;150072
Pinheiro Preto;SC;3484;3999;4591;6349;7191;8835;9585;14016;15118;17605;17715;17611;23336;26686;29506;31282;30983
Piratuba;SC;3231;3956;3840;4378;4745;4404;4694;5186;5566;6105;6864;7243;7775;8546;10438;10996;11974
Planalto Alegre;SC;1720;2512;2012;4057;3490;3450;4723;5496;7137;10585;11918;12545;3058;3266;2848;4025;4479
Pomerode;SC;49553;59618;62792;74632;88218;122812;141021;164869;206003;248810;283068;390171;506623;434418;389260;443409;491139
Ponte Alta;SC;2397;2771;2390;2213;2218;2782;3053;2812;3040;3974;4189;3474;3404;4125;4624;5968;7295
Ponte Alta do Norte;SC;2573;4888;5309;4459;3286;3237;4314;4057;5885;6126;6364;7857;6598;7530;9292;9270;10471
Ponte Serrada;SC;2813;3274;3609;4085;4028;4020;5061;5049;11164;11854;11421;18362;10391;10477;11863;12531;13310
Porto Belo;SC;28000;39045;44963;45261;69053;72248;78217;95324;87945;96566;91738;102518;94254;104895;109667;109999;162328
Porto União;SC;12987;17676;18118;18116;21103;20951;32164;24029;28598;32561;33006;36293;42285;43151;50955;56527;63709
Pouso Redondo;SC;6919;8499;12558;14498;15301;16026;19485;19650;20418;23215;24877;38422;41265;38615;47756;51553;50447
Praia Grande;SC;2617;3398;3535;4085;3961;3726;5103;5911;6984;6508;15038;8126;7787;7752;9242;9838;10732
Presidente Castello Branco;SC;954;877;727;699;786;758;930;907;950;1044;1107;1181;1163;1334;1721;1815;2360
Presidente Getúlio;SC;8499;10327;10791;13530;14819;14753;19112;21466;26021;24195;33386;27332;39048;39673;44262;55018;64322
Presidente Nereu;SC;389;578;561;534;591;525;655;535;787;887;1025;909;935;1033;1392;1540;1789
Princesa;SC;361;496;455;517;611;700;717;835;1315;1593;1733;3694;3903;4241;5084;6246;7873
Quilombo;SC;15134;17922;19817;29091;27425;30220;33446;33806;47164;67479;75955;56195;26186;26681;31234;30542;34081
Rancho Queimado;SC;945;1293;1473;1525;1745;1875;2540;2890;3156;3530;3969;4684;5995;5999;6616;6807;7879
Rio das Antas;SC;2269;2949;2824;3209;3363;3107;3902;3738;5227;5577;5004;5849;6469;6942;8363;9440;10586
Rio do Campo;SC;1833;2574;2755;3130;3571;3225;3760;3914;4330;5000;5093;5989;6434;6591;7480;8519;9261
Rio do Oeste;SC;2226;2979;2794;3122;3136;3044;3707;4936;6502;6618;7450;8059;10347;10791;11710;11497;11622
Rio dos Cedros;SC;6735;9053;9172;10993;12344;13974;15959;16838;18580;27129;28855;23497;27283;26096;28369;34929;34183
Rio do Sul;SC;78309;101400;107381;121407;131489;131397;152718;146423;186940;214170;234481;240151;276480;263634;265195;308149;338696
Rio Fortuna;SC;2184;2784;2806;2821;2892;2775;3639;4828;5140;6980;6833;7463;9258;9579;10110;11231;11544
Rio Negrinho;SC;31854;40068;41554;46884;46166;46182;55890;50897;61797;70044;74500;88706;89793;88443;90920;103260;118784
Rio Rufino;SC;406;543;572;496;496;436;609;595;819;878;962;990;1004;1137;1379;1869;1991
Riqueza;SC;1239;1609;1698;1646;1769;2095;2511;2240;1982;2777;2715;3025;3754;3598;4540;5748;7243
Rodeio;SC;7100;9149;10006;12732;13440;12634;17953;22025;20495;24268;36381;43551;45820;37432;30557;36282;40364
Romelândia;SC;5093;3895;3240;4120;4304;4382;4356;4834;7311;10761;12108;11156;3562;3167;3161;3210;3036
Salete;SC;2860;3610;3643;4059;4130;3899;4381;5100;5231;5958;6290;7438;10144;10648;10877;11556;14368
Saltinho;SC;562;747;764;837;795;891;1445;1046;1660;1487;10312;3681;1832;2012;2470;2727;2890
Salto Veloso;SC;4885;5220;5849;8196;8697;9610;12435;12893;10566;25009;10537;11225;14973;21532;19983;17433;17492
Sangão;SC;4022;5539;6239;8365;10038;8429;9817;9681;14519;15855;25347;20621;25227;28127;28530;34085;56802
Santa Cecília;SC;7144;11495;13969;16834;16718;13168;15903;16214;18839;17648;20742;23095;27216;28411;32568;36419;43728
Santa Helena;SC;457;654;780;841;823;1276;1520;1269;1716;2050;2268;2299;3267;2945;4232;4301;5155
Santa Rosa de Lima;SC;847;1124;856;696;759;753;1115;1235;1408;1948;1768;1965;2108;2436;2497;3058;3732
Santa Rosa do Sul;SC;1329;2109;2367;3007;3739;5325;4160;4991;4594;4779;4295;6549;5860;6008;6659;8657;8317
Santa Terezinha;SC;1007;1461;1515;1548;1819;2005;2579;2590;3260;3541;4027;4019;4048;4353;5290;6321;6824
Santa Terezinha do Progresso;SC;365;435;421;456;506;750;655;766;804;909;1078;1251;1481;1466;1850;2094;2577
Santiago do Sul;SC;334;447;398;418;512;595;749;772;1075;2292;2529;2893;1105;1318;1416;1341;1346
Santo Amaro da Imperatriz;SC;10654;14712;12879;15561;17039;16518;21269;25359;27156;34279;30043;36136;46667;58499;67005;51530;51035
São Bernardino;SC;1225;1164;2196;1948;1103;1823;2153;2523;6805;2611;11760;3614;1955;2094;2778;3106;4067
São Bento do Sul;SC;120206;136020;150288;161077;161269;177211;200630;205390;249420;293590;288420;303087;373864;350134;296412;342370;371214
São Bonifácio;SC;692;937;952;967;992;1026;1217;1333;1274;1412;1475;1594;1913;2080;2865;3802;4953
São Carlos;SC;8913;7108;7411;8966;8596;9269;11250;12612;17010;21856;20153;26625;19718;18975;20160;22038;35599
São Cristóvão do Sul;SC;3392;4396;4509;5400;5752;5533;7111;7001;7528;8227;8298;10811;12665;14505;15800;16685;18699
São Domingos;SC;9259;11921;11082;11499;11506;11585;14148;15467;16557;20568;19998;22164;14507;15790;18523;19148;21389
São Francisco do Sul;SC;67648;81282;110016;206385;257910;290400;429213;402175;506064;595576;659712;675901;975658;960242;855434;749346;816162
São João do Oeste;SC;1680;2140;3510;4297;4559;5676;7082;7406;8606;8381;9049;11692;13548;13922;17443;18659;20847
