name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Caracaraí;RR;3336;3610;4643;4520;3999;5123;4954;6881;8448;14158;13612;11266;10307;19808;18444;19606;16455
Caroebe;RR;686;605;798;912;1206;1418;1832;1505;1675;1693;2066;2694;3316;2435;2322;2267;4150
Iracema;RR;637;800;979;1076;1786;1715;1903;2673;2645;1500;1674;2608;2132;1914;1808;2044;2458
Mucajaí;RR;2224;2501;2554;3514;3821;5219;4986;5869;7941;10303;10462;11983;11232;13942;14325;15871;20914
Normandia;RR;518;397;537;482;498;623;981;654;666;638;643;734;785;1080;1026;1101;1418
Pacaraima;RR;1853;1852;2358;2765;3374;3966;3881;3734;4545;3067;3660;4279;4286;4095;4605;5254;7266
Rorainópolis;RR;2057;2168;2424;3216;3957;6290;6608;9463;13928;20971;25103;32991;45557;44957;47623;50858;50939
São João da Baliza;RR;1174;1240;1409;1828;1580;1772;2393;3061;3582;7456;7231;9357;10581;11583;14888;17990;24882
São Luiz;RR;990;1111;1447;1590;1375;1570;1720;1695;2167;1908;3026;2405;2351;2630;3912;5503;7569
Uiramutã;RR;203;120;149;123;166;235;342;301;370;416;493;653;638;622;589;627;942
Abaetetuba;PA;10463;14281;15643;17327;21450;20762;23393;26787;36993;47599;51942;61559;79489;91263;95125;98662;104390
Abel Figueiredo;PA;987;1095;1266;1553;1579;2219;1929;2016;1955;2422;2345;3134;4037;4397;4647;4864;5285
Acará;PA;5799;6043;6685;8419;9670;8857;6961;7926;9778;9746;12323;14513;14252;18881;17199;18381;19590
Afuá;PA;1642;1856;1775;1912;1851;1978;2279;2393;3811;5102;7682;7921;9039;9686;9298;8631;9438
Água Azul do Norte;PA;940;1072;2077;17143;20893;18606;19870;19817;14032;18531;17929;28169;32431;46648;48531;49919;52999
Alenquer;PA;2867;3987;3656;4060;4564;5234;5991;6407;8109;8862;7811;11759;12556;15309;15328;13798;16589
Almeirim;PA;40352;44121;33157;34562;34318;36701;46278;43633;47623;52170;74885;64232;56997;49663;59485;59732;71656
Altamira;PA;20048;26933;29475;35334;39265;48512;55797;61572;74883;95387;155226;213756;272103;264765;224300;218194;233146
Anajás;PA;1619;1796;1590;1819;1711;1747;2012;2487;3163;4267;4909;6236;7947;8384;8200;8421;8461
Ananindeua;PA;167625;199558;218309;273060;331777;344074;389624;396760;500259;549533;565523;591680;662096;719901;782839;824901;923523
Anapu;PA;1402;1707;2089;2808;2812;2559;3016;3679;4180;6491;15418;15138;15347;21723;28229;29561;27267
Augusto Corrêa;PA;1017;1416;1392;1730;1819;2535;2735;3032;3526;4135;5993;5489;6111;7419;7441;7793;8379
Aurora do Pará;PA;991;1088;1008;1140;1325;1775;1581;1850;2805;3130;2774;5055;5996;6611;7702;7534;7422
Aveiro;PA;265;289;341;589;558;786;1120;1410;810;1114;1070;1180;1104;1246;1453;1985;1305
Bagre;PA;702;916;695;897;923;976;965;1235;1227;1357;1773;2095;2276;2639;2969;3203;3201
Baião;PA;1298;1472;1501;1631;1947;2310;2961;3333;3853;4873;5964;6114;6762;7338;8947;8555;9013
